"Protein ID","p2d1","p2d2","p2d3","p2d4","p2d5","p2d6","p2d7","p2d8"
"sp|O75629|CREG1_HUMAN",0.00041397,0.000588551,0.000204969,0.000889404,0.000371223,0.000229155,0.00029573,0.000363412
"sp|P01591|IGJ_HUMAN",0.000137581,0,0,0.000486276,0.000237047,0.000453094,0,0.000124484
"tr|A2IPI4|A2IPI4_HUMAN",0,0,0,0,0,0,0,0
"tr|A8K008|A8K008_HUMAN",0,0,"9.55366E-05",0,0.000227783,0.000366636,0.000275384,"8.42269E-05"
"tr|I3L4Y3|I3L4Y3_HUMAN",0,0,0,0,0.000532499,0.001604915,0.000434878,0.00099766
"sp|P01903|DRA_HUMAN",0.001169641,0.000636006,0.000559662,0.00077035,0.001216357,0.00147301,0.001476621,0.001258778
"tr|Q6ZW64|Q6ZW64_HUMAN","9.25992E-05",0,0,0,"7.62966E-05",0.000145834,0.000217412,"8.16129E-05"
"sp|Q9UNI1|CELA1_HUMAN",0.000168209,0,0,0,0.000217973,0,0.000118833,0
"sp|P01717|LV403_HUMAN",0.000201145,0,0,0,0,0.000425405,0.000715438,0.000932184
"tr|Q5EFE6|Q5EFE6_HUMAN",0,0,0,0,0.000160432,0.000227476,0.000490155,0
"sp|O60635|TSN1_HUMAN","9.90397E-05",0,0,0,0,0.000154159,0.000127215,0.000331746
"sp|P04054|PA21B_HUMAN",0.001258792,0,0,0,0,0.000251029,0,0.004865985
"sp|P09668|CATH_HUMAN",0.000142499,"9.75017E-05",0.000134607,0.000116821,0.000336636,0.000752959,0.000136994,0.000183433
"sp|P31997|CEAM8_HUMAN",0.000782866,0.000556548,0.000129207,0.000221541,"7.28707E-05",0,0.000175149,0.000742359
"sp|P20160|CAP7_HUMAN",0.001518668,0.001161152,0.000988461,0.001775858,0.000452938,"7.27036E-05",0.000712971,0.000163053
"sp|Q9UI42|CBPA4_HUMAN",0.000216326,0.000383718,0.00010711,0.000464772,0.000210613,0.000106564,0.000235467,0.000235587
"sp|O43280|TREA_HUMAN",0,0,0,0,0.000400836,0.000149232,0,0
"sp|P11678|PERE_HUMAN",0.00033078,0.000633843,0.000559078,0.000409863,0.000124012,0.000171522,"8.57592E-05","5.45794E-05"
"sp|P60709|ACTB_HUMAN",0,0,0,0,0,"5.04099E-05",0,0
"tr|B4DPH5|B4DPH5_HUMAN",0,0,0,0,0,0,0,0
"sp|P07686|HEXB_HUMAN",0,0,0,"6.86744E-05",0,"7.17202E-05","8.25412E-05",0
"tr|A0A075B6S2|A0A075B6S2_HUMAN",0.000938299,0,0,0.000644315,0.000426059,0.001284572,0.000669121,0.000170022
"sp|P23083|HV103_HUMAN",0,0,0,0,0.000320865,0.000341603,0.000392247,0.000174381
"sp|P60174|TPIS_HUMAN","8.34565E-05",0.000793351,0.000236185,0,0,0.00031602,0,0.00034679
"sp|Q04609|FOLH1_HUMAN",0.000453512,0.000258981,0.000440941,0.000157801,0.000268038,0.000173799,0,"2.63906E-05"
"sp|P01594|KV102_HUMAN",0.001707697,0,0,0,0.00175169,0.000545105,0.001452282,0.000378948
"sp|P06312|KV401_HUMAN",0.001505346,0,0.000187087,0,0.000466004,0.001054,0.000918549,0.000830367
"tr|Q9UL83|Q9UL83_HUMAN",0.00020255,0.000602645,0.00041753,0,0.000996551,0.000590435,0.000567758,0
"sp|P04632|CPNS1_HUMAN",0.001448596,0,0.000673034,0,0.000210397,0.000640829,0.000228798,0.000672776
"sp|Q6P4A8|PLBL1_HUMAN","3.89195E-05","5.86302E-05","4.06072E-05",0.000214016,0.000101965,0.000144219,"2.75479E-05",0.000035792
"sp|Q9BYF1|ACE2_HUMAN",0.000134995,"3.98312E-05","5.60165E-05",0.000311884,0.000476879,0.000198597,0.000142069,0.0001223
"tr|B1N7B6|B1N7B6_HUMAN",0,0.000809581,0.000562909,0.000326124,0.000738902,0.00075864,0.000985827,0
"sp|P15941|MUC1_HUMAN",0,0,0,0,0,0,"3.65681E-05","6.32199E-05"
"tr|Q65ZC8|Q65ZC8_HUMAN",0,0,0,0,0.00023048,0.000292942,0.000251303,0.00032237
"sp|P01037|CYTN_HUMAN",0,0.000229302,0,0,0,0,0,0.001269585
"tr|A0A087WU91|A0A087WU91_HUMAN",0,0,0,0,0.000165309,0.000233462,0.000402569,0.000168696
"sp|P01619|KV301_HUMAN",0,0,0,0,0.000411029,0.000545949,0.000459589,0
